"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Barry literally wouldn’t talk to me. Just kept walking in circles saying, “no no no no no no no” <U+0001F602><U+0001F602>
But we finally… https://t.co/j1gY8Ys3rv",FALSE,4119,NA,2019-09-09 20:37:15,TRUE,NA,"1171160661138624513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",277,FALSE,FALSE,NA,NA
"Check us out at 2pm TODAY on @NBC. (and ending my honesymoon early so I could be Kelly’s first guest was wifey appr… https://t.co/8Q1gIICgQl",FALSE,1938,NA,2019-09-09 20:03:45,TRUE,NA,"1171152230583418881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",153,FALSE,FALSE,NA,NA
"I love how I asked my team to get me Kelly’s favorite flower so I can walk out with a gift and they brought me doze… https://t.co/jUl58JMND6",FALSE,12204,NA,2019-09-09 20:01:29,TRUE,NA,"1171151660854366208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",488,FALSE,FALSE,NA,NA
"RT @kellyclarkson: @TheRock is the coolest/nicest dude walking this planet #FightMeOnIt <U+0001F481><U+0001F3FC><U+200D><U+2640><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> https://t.co/RMTpJtPLLj",FALSE,0,NA,2019-09-09 19:58:24,FALSE,NA,"1171150884765487104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",148,TRUE,FALSE,NA,NA
"Doing all I can to make this fight. If I can and you win, I’ll put the belt around your waist at MSG - consider it… https://t.co/mkJ2DnzSK6",FALSE,17315,NA,2019-09-09 16:11:27,TRUE,NA,"1171093769476722689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",2145,FALSE,FALSE,NA,NA
"Well I don’t know about ballin <U+0001F911> since birth. If I had em by ankles, I knew my boys were always coming to take his… https://t.co/vLQJwCTB74",FALSE,2147,NA,2019-09-09 00:08:57,TRUE,NA,"1170851551264395266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",138,FALSE,FALSE,NA,NA
"In real life, I can put on a MasterClass about the countless times I’ve had use my fear of something as a valuable… https://t.co/xw2Nw0v8Zb",FALSE,6192,NA,2019-09-08 23:45:46,TRUE,NA,"1170845713556631553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",472,FALSE,FALSE,NA,NA
"RT @hhgarcia41: Big congrats to our @HobbsAndShaw cast &amp; crew for this huge achievement and an even bigger THANK YOU to our incredible fans…",FALSE,0,NA,2019-09-08 19:09:53,FALSE,NA,"1170776287431913473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",177,TRUE,FALSE,NA,NA
"Imagine these two at your next Christmas party. The fanny pack brothers. 
Turtleneck and Quadzilla <U+0001F37B> https://t.co/dYINT617YA",FALSE,29313,NA,2019-09-06 15:25:44,FALSE,NA,"1169995101231173633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",2680,FALSE,FALSE,NA,NA
"Very cool. @TomHolland1996’s a good buddy and continues to earn his success daily. That level of fame isn’t easy to… https://t.co/PcM17p2lOL",FALSE,134298,NA,2019-09-05 03:14:13,TRUE,NA,"1169448620485013504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",10569,FALSE,FALSE,NA,NA
